Date,Open,High,Low,Close,Adj Close,Volume
2023-11-13,34.680000,35.750000,34.669998,35.689999,32.040928,44120000
2023-11-14,35.689999,36.240002,35.490002,36.180000,32.480827,50888600
2023-11-16,35.980000,36.490002,35.500000,35.549999,31.915241,72361200
2023-11-17,35.830002,36.919998,35.820000,36.709999,32.956635,87666300
2023-11-20,36.770000,37.220001,36.270000,36.740002,32.983570,67796900
2023-11-21,36.540001,36.540001,35.910000,36.360001,32.642426,49597800
2023-11-22,34.900002,35.160000,34.250000,35.160000,32.787224,58578300
2023-11-23,35.130001,35.250000,34.810001,35.169998,32.796547,24068100
2023-11-24,34.980000,35.820000,34.709999,35.270000,32.889801,53456200
2023-11-27,35.000000,35.400002,34.750000,35.070000,32.703297,36996000
2023-11-28,35.169998,35.619999,35.150002,35.599998,33.197525,36875900
2023-11-29,35.900002,36.029999,34.939999,35.230000,32.852497,37528600
2023-11-30,35.459999,35.919998,35.240002,35.910000,33.486607,58808800
2023-12-01,35.720001,36.000000,35.529999,35.669998,33.262802,36388100
2023-12-04,35.439999,35.549999,34.849998,34.910000,32.554092,35601900
2023-12-05,34.919998,35.169998,34.680000,34.750000,32.404892,43234200
2023-12-06,34.549999,34.799999,33.500000,33.500000,31.239248,64179200
2023-12-07,33.650002,34.180000,33.040001,33.419998,31.164644,64723900
2023-12-08,33.709999,34.540001,33.480000,34.490002,32.162437,53290700
2023-12-11,34.459999,34.689999,34.240002,34.360001,32.041210,30613300
2023-12-12,34.549999,34.599998,33.799999,34.080002,31.780109,30371500
2023-12-13,34.209999,34.619999,34.139999,34.570000,32.237038,38992900
2023-12-14,35.000000,35.740002,34.840000,35.320000,32.936424,57950000
2023-12-15,35.279999,35.790001,35.000000,35.400002,33.011028,56570100
2023-12-18,35.750000,36.299999,35.580002,35.840000,33.421333,44474300
2023-12-19,35.959999,36.250000,35.810001,36.250000,33.803661,32183000
2023-12-20,36.369999,36.740002,36.290001,36.380001,33.924892,38947900
2023-12-21,36.669998,36.680000,36.070000,36.389999,33.934216,30511900
2023-12-22,36.500000,36.799999,36.369999,36.740002,34.260597,31234700
2023-12-26,36.860001,37.369999,36.830002,37.330002,34.810783,23466800
2023-12-27,37.320000,37.430000,37.130001,37.360001,34.838757,19588500
2023-12-28,37.230000,37.360001,37.040001,37.240002,34.726852,21421900
2024-01-02,37.439999,37.889999,37.400002,37.779999,35.230408,24043800
2024-01-03,37.799999,39.119999,37.669998,38.959999,36.330776,52300200
2024-01-04,39.119999,39.349998,38.509998,38.630001,36.023052,45344900
2024-01-05,38.869999,39.139999,38.410000,38.720001,36.106979,35783700
2024-01-08,38.380001,38.430000,37.610001,38.430000,35.836544,35158100
2024-01-09,38.669998,38.750000,38.029999,38.099998,35.528816,27279000
2024-01-10,38.099998,38.270000,37.509998,37.750000,35.202435,27382000
2024-01-11,37.980000,38.150002,37.700001,38.070000,35.500843,26564400
2024-01-12,38.500000,38.730000,38.169998,38.169998,35.594090,24479500
2024-01-15,37.990002,38.619999,37.860001,38.580002,35.976425,13818300
2024-01-16,38.610001,38.790001,38.080002,38.099998,35.528816,31277700
2024-01-17,37.970001,38.150002,37.820000,37.880001,35.323666,27577300
2024-01-18,38.139999,38.139999,37.560001,37.730000,35.183788,22987200
2024-01-19,37.810001,37.900002,37.230000,37.529999,34.997284,31745200
2024-01-22,37.500000,37.810001,37.230000,37.700001,35.155811,22753700
2024-01-23,37.840000,38.369999,37.430000,38.169998,35.594090,32498500
2024-01-24,38.290001,38.540001,37.770000,37.880001,35.323666,25415300
2024-01-25,38.259998,39.279999,38.130001,39.279999,36.629185,48655300
2024-01-26,39.099998,40.090000,38.910000,39.959999,37.263294,41378200
2024-01-29,40.000000,40.590000,39.830002,40.570000,37.832127,30547500
2024-01-30,40.169998,40.740002,40.049999,40.320000,37.598999,34829000
2024-01-31,40.230000,41.240002,40.180000,40.759998,38.009304,57978900
2024-02-01,40.779999,41.880001,40.669998,41.570000,38.764645,61629200
2024-02-02,41.580002,41.779999,41.020000,41.029999,38.261082,36485600
2024-02-05,41.009998,41.680000,40.930000,41.209999,38.428936,27703000
2024-02-06,41.450001,42.349998,41.270000,41.590000,38.783291,35474600
2024-02-07,41.520000,42.200001,41.419998,42.200001,39.352127,30648100
2024-02-08,42.299999,42.450001,41.860001,41.860001,39.035072,25589100
2024-02-09,42.139999,42.330002,41.299999,41.299999,38.512863,30388000
2024-02-14,41.099998,41.400002,40.860001,40.990002,38.223785,18315300
2024-02-15,41.009998,42.299999,40.849998,42.299999,39.445377,33246400
2024-02-16,42.090000,42.889999,42.060001,42.689999,39.809059,37268900
2024-02-19,42.759998,42.939999,42.560001,42.900002,40.004890,12826700
2024-02-20,42.770000,42.820000,42.099998,42.450001,39.585258,42375400
2024-02-21,42.450001,42.720001,42.130001,42.509998,39.641205,20873800
2024-02-22,42.669998,42.680000,41.799999,42.189999,39.342800,32162800
2024-02-23,42.139999,42.240002,41.610001,41.900002,39.072372,43924500
2024-02-26,41.900002,42.730000,41.830002,42.689999,39.809059,25885700
2024-02-27,42.700001,42.820000,42.380001,42.630001,39.753109,27678100
2024-02-28,42.520000,42.939999,39.830002,40.430000,37.701576,112322000
2024-02-29,40.590000,41.240002,39.849998,40.139999,37.431145,61899800
2024-03-01,40.349998,40.849998,40.139999,40.180000,37.468445,31248500
2024-03-04,40.270000,40.750000,40.020000,40.080002,37.375198,21988000
2024-03-05,40.099998,40.369999,39.610001,39.959999,37.263294,30293300
2024-03-06,40.200001,40.840000,40.110001,40.840000,38.083908,45481000
2024-03-07,40.639999,40.939999,40.279999,40.389999,37.664276,50199800
2024-03-08,35.900002,37.060001,35.099998,36.700001,34.223293,230369800
2024-03-11,35.669998,37.740002,35.299999,35.650002,33.244156,127528700
2024-03-12,36.349998,37.230000,36.160000,36.820000,34.335197,76139100
2024-03-13,36.900002,37.330002,36.310001,36.380001,33.924892,45140600
2024-03-14,36.740002,36.919998,36.150002,36.220001,33.775688,39983400
2024-03-15,36.299999,36.450001,35.939999,36.320000,33.868938,59362500
2024-03-18,36.410000,36.720001,35.500000,36.340000,33.887592,35326100
2024-03-19,36.389999,36.849998,35.560001,36.070000,33.635811,48540800
2024-03-20,36.230000,36.740002,35.810001,36.700001,34.223293,39017900
2024-03-21,36.849998,37.060001,35.680000,35.700001,33.290783,47220200
2024-03-22,35.900002,36.220001,35.430000,36.049999,33.617161,34426800
2024-03-25,36.180000,36.830002,36.160000,36.599998,34.130043,26951500
2024-03-26,36.669998,36.669998,36.169998,36.259998,33.812988,24837800
2024-03-27,36.279999,36.660000,36.119999,36.549999,34.083416,19995700
2024-03-28,36.500000,37.520000,36.470001,37.360001,34.838757,31958200
2024-04-01,37.500000,37.709999,37.209999,37.650002,35.109188,23697800
2024-04-02,37.820000,38.650002,37.770000,38.619999,36.013721,45930700
2024-04-03,38.700001,39.009998,38.220001,38.419998,35.827217,31437200
2024-04-04,38.470001,39.480000,37.430000,37.980000,35.416916,165566800
2024-04-05,37.900002,38.570000,37.169998,38.099998,35.528816,65469200
2024-04-08,38.029999,39.060001,37.730000,38.630001,36.023052,36384400
2024-04-09,38.900002,39.139999,38.060001,38.730000,36.116299,36989300
2024-04-10,38.730000,39.730000,38.660000,39.590000,36.918262,55821500
2024-04-11,39.599998,39.759998,39.200001,39.299999,36.647831,33195300
2024-04-12,39.720001,40.049999,38.700001,38.939999,36.312130,39613500
2024-04-15,38.939999,39.450001,38.630001,39.310001,36.657162,28692000
2024-04-16,39.009998,39.709999,38.950001,39.490002,36.825012,37303000
2024-04-17,39.490002,39.950001,39.340000,39.779999,37.095440,39221700
2024-04-18,40.000000,40.590000,39.650002,39.849998,37.160717,45078800
2024-04-19,40.049999,41.070000,39.840000,40.529999,37.794827,80546900
2024-04-22,40.759998,41.590000,40.520000,41.500000,38.699368,51775500
2024-04-23,41.400002,41.630001,40.959999,41.419998,38.624763,35456900
2024-04-24,41.549999,41.990002,41.209999,41.230000,38.447590,45388300
2024-04-25,41.400002,42.480000,41.080002,42.220001,39.370781,66372400
2024-04-26,41.290001,41.779999,41.070000,41.650002,39.914928,31899100
2024-04-29,41.480000,42.150002,41.320000,42.150002,40.394100,27886000
2024-04-30,42.000000,42.209999,41.619999,42.020000,40.269516,36635400
